MontoPagado;Interes;Plazo;Tipo;Mensualidad;MontoAsegurado;TipoPago;ModoPago;Fiador;Fiador2;OtroSeguro;Record;Edad;EstadoCivil;Salario;Fraude
2801794;17.25;424.6666667;Nacional;14003.37692;462045.4545;A;Tarjeta;No;No;Si;R2;39;Soltero;4183.84;No
1866890.34;17.25;424.6666667;Nacional;11002.82692;310530.303;A;Tarjeta;Si;Si;Si;R1;31.5;Soltero;4286.619;No
3665422.5;12.25;424.6666667;Nacional;15760.38462;606893.9394;A;Tarjeta;No;No;Si;R2;32;Soltero;3520.556;No
18699381.92;17.25;424.6666667;Nacional;128597.1308;3037803.03;B;Tarjeta;No;No;No;R0;39.5;Soltero;17333.39;No
3962613.06;17.25;424.6666667;Nacional;17729.00385;650227.2727;A;Tarjeta;Si;No;No;R0;31.5;Soltero;6170.058;No
2796812.8;17.25;424.6666667;Nacional;23539.56154;462045.4545;B;Tarjeta;Si;No;No;R0;34;Soltero;8545.746;No
564183.08;17.25;424.6666667;Nacional;8098.796154;310530.303;A;Tarjeta;No;No;No;R0;32.5;Soltero;3919.506;No
3736536.44;17.25;424.6666667;Nacional;17003.41538;613560.6061;A;Tarjeta;No;No;No;R0;38;Soltero;11412.656;No
1094743.48;17.75;426.6666667;Nacional;8575.561538;189318.1818;A;Tarjeta;No;No;No;R0;35;Soltero;0;No
19280083.58;17.25;424.6666667;Nacional;133308.4423;3187841.661;B;Tarjeta;No;No;No;R0;39;Soltero;28157.022;No
39678416.32;17.25;424.6666667;Nacional;132358.0885;6437196.97;A;Tarjeta;No;No;No;R0;48;Soltero;70653.571;No
4618031.22;17.25;424.6666667;Nacional;19832.55385;765075.7576;A;Tarjeta;Si;Si;No;R0;35;Soltero;6532.984;No
1865534.9;17.25;424.6666667;Nacional;10998.47692;310530.303;A;Tarjeta;No;No;No;R0;38;Soltero;3986.893;No
21477340.22;12.25;424.6666667;Nacional;66120.18462;3518863.636;A;Tarjeta;Si;No;No;R0;49;Soltero;7.9;No
11397476.08;17.25;424.6666667;Nacional;78400.38462;1855984.848;B;Tarjeta;Si;No;No;R0;38;Soltero;13269.314;No
2239335.64;17.25;424.6666667;Nacional;12198.18077;371136.3636;A;Tarjeta;No;No;No;R0;38.5;Union;4290.806;No
5756975.34;17.25;434;Nacional;23309.26154;916590.9091;A;Tarjeta;No;No;No;R0;31;Soltero;6983.995;No
2136119.26;17.25;424.6666667;Nacional;8198.407692;355984.8485;C;Tarjeta;Si;No;Si;R1;32.5;Soltero;4085.169;No
1832591.92;12.25;424.6666667;Nacional;18965.38462;795378.7879;A;Tarjeta;Si;No;No;R0;32.5;Soltero;6264.384;No
3734526.72;17.25;424.6666667;Nacional;16996.96538;613560.6061;A;Tarjeta;No;No;No;R0;42;Soltero;37577.535;No
2225893.6;17.75;427;Nacional;12258.41538;371136.3636;A;Tarjeta;No;No;No;R0;34.5;Soltero;0;No
3734597.66;17.25;424.6666667;Nacional;29702.79615;613560.6061;B;Tarjeta;Si;No;Si;R1;34;Divorciado;7984.767;No
6159504.72;17.25;424.6666667;Nacional;45727.72308;1007500;B;Tarjeta;No;No;No;R0;36;Soltero;7081.165;No
2050888.72;17.25;424.6666667;Nacional;11593.36538;340833.3333;A;Tarjeta;No;No;No;R0;41.5;Soltero;5807.132;No
15372981.54;12.25;424.6666667;Nacional;50096.92308;2522651.515;A;Tarjeta;Si;Si;No;R0;37.5;Soltero;16370.617;No
2424347.66;17.25;424.6666667;Nacional;12791.97308;401439.3939;A;Tarjeta;Si;No;No;R0;40;Soltero;3742.625;No
1864427.26;17.25;424.6666667;Nacional;10994.91923;310530.303;A;Tarjeta;No;No;Si;R2;39;Soltero;6017.667;No
6440485.74;17.25;424.6666667;Nacional;25681.68077;1068106.061;A;Tarjeta;No;No;No;R0;36.5;Soltero;7136.386;No
6143719.1;17.25;424.6666667;Nacional;45623.40385;1007500;B;Tarjeta;No;No;No;R0;36.5;Soltero;7984.767;No
1114519.34;17.25;424.6666667;Nacional;8588.107692;189318.1818;A;Tarjeta;No;No;No;R0;36;Soltero;5321.914;No
7363498.56;17.25;424.6666667;Nacional;28644.06923;1219621.212;A;Tarjeta;No;No;No;R0;37;Soltero;9301.065;No
3880835.62;12.25;424.6666667;Nacional;16392.30769;643863.6364;A;Tarjeta;No;No;No;R0;33.5;Soltero;4902.819;No
